Transcripts	CT1	CT2	CT3	LT20_1	LT20_2	LT20_3	LT15_1	LT15_2	LT15_3	LT12_1	LT12_2	LT12_3	LT12_6_1	LT12_6_2	LT12_6_3
transcript_1234	43.1	39.99	50.62	33.58	37.51	38.84	34.59	35	37.17	31.42	33.97	23.91	30.76	19.09	27.31
transcript_1235	13.23	11.87	13.99	12.05	14.25	13.25	9.26	7.02	4.13	10.56	12.97	6.54	11.35	3.96	7.69
transcript_1236	7.55	5.35	10.62	11.79	13.47	9.01	13.91	13.53	8.69	9.53	13.89	2.2	17.25	11.05	8.34
transcript_1237	15.45	24.13	17.34	10.15	12.31	17.91	17.12	9.42	15.44	19.23	12.55	10.23	16.68	9.58	7.21
transcript_1238	6.88	5.76	8.38	6.46	7.9	6.42	7.34	11.2	10.03	7.81	11.62	10.38	15.59	13.93	11.88
transcript_1239	10.99	6.73	8.67	13.53	12.37	70.53	49.5	180.14	54.2	145.5	189.78	211.43	386.26	440.96	375.98
transcript_124	6.34	7.35	8.11	4.85	6.38	7.45	7.24	7.83	5.91	4.6	7.59	6.48	13.5	8.49	9.04
transcript_1240	0	0	8.9	0	13.11	0	21.9	1.55	22.17	20.05	28.46	1.49	0	10.3	0
transcript_1241	16.76	13.98	19.1	13.42	11.8	10.96	12.61	13.53	11.78	11.49	13.8	10.67	25.97	16.58	18.18
transcript_1242	8.66	10.75	8.95	11.21	14.32	10.34	12.26	13.53	10.75	24.06	21.23	11.6	32.22	17.77	32.43
transcript_1244	22.46	35.73	23.87	22.67	206.75	24.54	19.28	25.93	26.57	27.65	25.76	39.67	16.4	31.06	22.76
transcript_1245	78.42	84.23	72.59	51.68	89.79	46.26	39.25	22.36	42.04	12.27	5.09	24.82	0.7	0.1	0.68
transcript_1246	12.18	14.89	16.48	13.33	14.64	15.64	15.43	15.8	11.74	16.42	17.03	11.28	21.25	16.56	16.25
transcript_1247	4.06	4.56	5.21	3.81	6.83	5.96	4.02	7.84	6.65	3.64	5.55	6.21	6.08	7.55	6.53
transcript_1248	38.52	40.68	33.02	763.26	439.63	404.64	34.09	640.05	48.63	27.88	54.42	57.04	865.31	51.79	742.72
transcript_1249	49.15	29.71	66.56	42.34	46.19	39.4	42.25	46.9	40.57	24.14	43.67	41.43	38.29	30.94	43.44
transcript_125	98.3	60.48	66.38	81.4	0	72.17	0	50.97	14.53	1.03	0.21	1.1	13.93	607.36	0
transcript_1250	22.04	20.99	16.63	15.86	19.69	13.51	13.89	11.54	15.16	15.06	15.9	11.3	6.9	3.78	7.35
transcript_1251	153.54	135.38	96.45	163.73	248.2	191.4	261.14	114.64	235.97	144.95	140.18	163.81	116.23	100.15	121.84
transcript_1252	88.19	101.65	71.32	17.51	59.98	83.19	105.53	76.6	71.58	26.01	9.52	91.67	0.58	1.25	0.28
transcript_1253	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
transcript_1254	5.38	4	3.08	17.56	14.62	26.98	20.26	25.41	24.74	84.77	58.77	22.73	35.46	64.57	52.26
transcript_1255	22.23	28.58	25.11	20.12	22.76	22.69	16.99	19.62	19.76	19.23	20.14	15.55	16.64	14.41	17.29
transcript_1256	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
transcript_1257	1.3	3.2	3.82	2.81	3.87	2.61	4.46	4.27	4.48	3.28	1.98	4.04	4.7	2.04	5.61
transcript_1258	14.5	14.37	18.9	9.84	9.58	7.29	5.3	5.38	5.92	6.24	5.55	3.7	6.41	4.13	6.72
transcript_1259	0	0	0	0	0	0	0	0.06	0	0	0	0	0	2.76	0
transcript_126	2.17	2.05	2.28	2.03	2.85	2.01	1.38	1.98	1.32	1.68	1.22	1.62	0.83	1.05	1.29
transcript_1260	294.52	765.05	147.94	246.67	167.92	180.21	152.32	159.73	730.76	329.24	335.74	131.39	289.82	135.12	127.55
transcript_1261	8.68	7.87	1.17	6.34	1.77	0.77	0.96	25.97	0.76	10.27	0.74	1.3	0.61	9.29	1.47
transcript_1262	8.42	6.4	9.68	8.79	4.85	5.02	4.38	4.53	5.94	6.94	3.18	6.88	1.48	1.03	2.15
transcript_1263	35.3	33.25	35.18	32.23	33.91	34.75	30.67	31.94	32.81	33.6	36.51	28.09	37.37	24.97	34.45
transcript_1264	14.59	16.23	14.13	7.04	16.93	12.17	10.11	15.45	20.42	10.03	32.05	20.18	11.13	11.09	11.73
transcript_1265	6.54	3.97	15.63	4.16	4.47	2.72	2.68	10.2	5.93	10.6	2.18	8.09	1.75	1.56	3.41
transcript_1266	4.38	3.33	4.65	4.25	3.49	3.29	4.41	4.39	3.46	4.08	5.35	3.91	7.5	5.25	5.73
transcript_1267	28.15	26.29	35.81	30.03	33.74	38.42	36.27	36.9	40.28	36.88	36.91	26.11	44.77	34.26	38.48
transcript_1268	24.1	30.7	30.7	33.25	82.8	13.46	55.85	11.11	17.37	21.04	8.08	24.69	9.31	11.65	45.26
transcript_1269	11.03	11.29	13.74	12.07	9.67	9.55	9.31	8.32	8.63	11.7	7.89	8.51	4.04	5.27	8.41
transcript_127	11.91	11.9	12.68	11.79	7.41	6.41	3.46	9.7	8.24	3.96	2.67	8.82	1.12	1.14	1.38
transcript_1270	14.49	17.67	34.85	18.83	38.49	19.57	29.96	70.71	46.62	20.85	38.01	48.48	44.38	102.32	87.68
transcript_1271	21.72	17.64	8.75	8.88	10.11	18.3	3.72	10.06	9.59	6.93	2.38	3.56	2.53	4.3	3.01
transcript_1272	8.06	7.76	6.73	3.67	6.91	6.52	3.79	3.14	5.74	3.8	6.71	2.63	3.3	3.2	2.67
transcript_1273	16.44	16.22	13.67	15.13	4.63	6.34	7.24	13.3	11.09	10.32	10.12	10.45	10.89	9.12	9.63
transcript_1274	350.24	52.9	479.6	367.93	952.15	509	853.85	421.89	56.81	257	236.66	173.12	360.4	695.5	165.28
transcript_1275	0.57	0.84	0.94	2.28	1.1	1.35	2.11	1.61	0.86	1.49	1.04	1.63	0.34	0.29	0.93
transcript_1276	6.42	6.02	7.21	6.77	9.84	8.38	8.58	7.82	6.48	6.7	7.19	6.25	7.06	4.98	6
transcript_1277	9.47	9.63	13.22	10.97	10.33	7.51	8.36	7.94	8.71	9	7.25	7.32	6.13	7.29	7.43
transcript_1278	1.24	1.47	1414.07	1.26	2.2	1.14	1.71	1.9	1074.56	628.83	942.55	6.74	1.17	0.33	688.78
transcript_1279	19.98	26.64	25.9	14.41	12.47	5.1	15.02	12.35	9.21	12.1	12.67	13.83	6.21	3.95	5.49
transcript_128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
transcript_1280	3.24	2.62	2.68	3.16	2.17	2.78	3.98	4.39	3.76	3.62	3.55	4.74	8.38	6.18	7.87
transcript_1281	0	0	0	0	0	0	0	0	0	0	0	1.26	0	0	0
transcript_1282	7.9	6.13	10.32	6.51	8.8	7.01	6.4	10.62	8.91	5.57	9.57	5.36	7.57	6.69	5.24
transcript_1283	21.01	49.22	23.15	35.25	40.74	40.6	92.15	67.13	45.43	48.44	58.75	37.27	131.34	82.84	96.3
transcript_1284	0	54.82	110.94	61.22	59.56	123.52	67.02	104.72	0	148.72	96.42	49.21	63.05	14.55	98.94
transcript_1286	14.85	19.56	35.45	18.96	33.86	15.31	32.37	66.37	45.74	22.44	40.46	55.43	46.84	104.63	95.2
transcript_1287	8.02	8.83	8.2	7.53	8.67	7.24	5.34	6.1	7.25	6.72	5.59	5.79	5.59	4.11	5.5
transcript_1288	0.61	2	0.24	9.24	8.43	49.29	54	96.91	41.88	144.65	98.98	93.93	96.27	131.4	116.82
transcript_1289	22.28	28.86	24.41	15.53	21.98	17.78	20.88	12.38	20	17.49	26.37	11.42	21.64	9.56	13.22
